@relation 'FiroModalityInstances: -C 0-weka.filters.unsupervised.attribute.Remove-R3'

@attribute Label {Obligation,Prohibition,Other}
@attribute text string
@attribute posTagSeq string

@data
Prohibition,'-LRB- 3 -RRB- Special rules for all other covered financial institutions . The due diligence requirements of 31 U.S.C. 5318 -LRB- i -RRB- -LRB- 1 -RRB- shall not apply to covered financial institution listed in § 1010.605 -LRB- e -RRB- -LRB- 1 -RRB- -LRB- vii -RRB- through -LRB- x -RRB- until the requirements of paragraph -LRB- a -RRB- of this section become applicable as set forth in paragraph -LRB- e -RRB- -LRB- 1 -RRB- of this section .','-LRB- LS -RRB- JJ NNS IN DT JJ JJ JJ NNS . DT JJ NN NNS IN CD NNP CD -LRB- NN -RRB- -LRB- CD -RRB- MD RB VB TO JJ JJ NN VBN IN NNP CD -LRB- NN -RRB- -LRB- CD -RRB- -LRB- FW -RRB- IN -LRB- NNP -RRB- IN DT NNS IN NN -LRB- DT -RRB- IN DT NN VBP JJ RB VBN RP IN NN -LRB- NNP -RRB- -LRB- CD -RRB- IN DT NN .'
Prohibition,'-LRB- 3 -RRB- Special rules for all other covered financial institutions . The enhanced due diligence requirements of 31 U.S.C. 5318 -LRB- i -RRB- -LRB- 2 -RRB- shall not apply to covered financial institution listed in § 1010.605 -LRB- e -RRB- -LRB- 1 -RRB- -LRB- vii -RRB- through -LRB- x -RRB- until the requirements of paragraph -LRB- b -RRB- of this section become applicable , as set forth in paragraph -LRB- f -RRB- -LRB- 1 -RRB- of this section .','-LRB- LS -RRB- JJ NNS IN DT JJ JJ JJ NNS . DT JJ JJ NN NNS IN CD NNP CD -LRB- NN -RRB- -LRB- CD -RRB- MD RB VB TO JJ JJ NN VBN IN NNP CD -LRB- NN -RRB- -LRB- CD -RRB- -LRB- FW -RRB- IN -LRB- NNP -RRB- IN DT NNS IN NN -LRB- NN -RRB- IN DT NN VBP JJ , RB VBN RP IN NN -LRB- NNP -RRB- -LRB- CD -RRB- IN DT NN .'
Prohibition,'-LRB- 3 -RRB- Special rules for federally regulated trust banks or trust companies , and mutual funds . Until the requirements of this section become applicable as set forth in paragraph -LRB- e -RRB- -LRB- 1 -RRB- of this section , the requirements of 31 U.S.C. 5318 -LRB- i -RRB- -LRB- 3 -RRB- shall not apply to covered financial institution listed in § 1010.605 -LRB- e -RRB- -LRB- 1 -RRB- -LRB- vii -RRB- or -LRB- x -RRB- .','-LRB- LS -RRB- JJ NNS IN RB VBN NN NNS CC NN NNS , CC JJ NNS . IN DT NNS IN DT NN VBP JJ RB VBN RP IN NN -LRB- NNP -RRB- -LRB- CD -RRB- IN DT NN , DT NNS IN CD NNP CD -LRB- NN -RRB- -LRB- LS -RRB- MD RB VB TO JJ JJ NN VBN IN NNP CD -LRB- NN -RRB- -LRB- CD -RRB- -LRB- FW -RRB- CC -LRB- NN -RRB- .'
Prohibition,'§ 1010.630 Prohibition on correspondent accounts for foreign shell banks ; records concerning owners of foreign banks and agents for service of legal process . -LRB- a -RRB- Requirements for covered financial institutions— -LRB- 1 -RRB- Prohibition on correspondent accounts for foreign shell banks . -LRB- i -RRB- covered financial institution shall not establish , maintain , administer , or manage correspondent account in the United States for , or on behalf of , foreign shell bank .','DT CD NN IN NN NNS IN JJ NN NNS : NNS VBG NNS IN JJ NNS CC NNS IN NN IN JJ NN . -LRB- DT -RRB- NNS IN JJ JJ NN -LRB- CD -RRB- NN IN NN NNS IN JJ NN NNS . -LRB- NN -RRB- VBD JJ NN MD RB VB , VB , VB , CC VB NN NN IN DT NNP NNPS IN , CC IN NN IN , JJ NN NN .'
Prohibition,'-LRB- 4 -RRB- Reestablishment of closed accounts and establishment of new accounts . covered financial institution shall not reestablish any account closed pursuant to this paragraph -LRB- d -RRB- , and shall not establish any other correspondent account with the concerned foreign bank , until it obtains from the foreign bank the certification or the recertification , as appropriate .','-LRB- LS -RRB- NN IN JJ NNS CC NN IN JJ NNS . JJ JJ NN MD RB VB DT NN VBD JJ TO DT NN -LRB- NNP -RRB- , CC MD RB VB DT JJ NN NN IN DT JJ JJ NN , IN PRP VBZ IN DT JJ NN DT NN CC DT NN , IN JJ .'
Prohibition,'-LRB- ii -RRB- covered financial institution required to terminate an account pursuant to paragraph -LRB- b -RRB- -LRB- 2 -RRB- -LRB- i -RRB- of this section : -LRB- A -RRB- Shall do so within commercially reasonable time , and shall not permit the foreign bank to establish any new positions or execute any transactions through such account , other than those necessary to close the account ; and','-LRB- NN -RRB- VBN JJ NN VBN TO VB DT NN JJ TO VB -LRB- NN -RRB- -LRB- CD -RRB- -LRB- NNP -RRB- IN DT NN : -LRB- DT -RRB- NNP VBP RB IN RB JJ NN , CC MD RB VB DT JJ NN TO VB DT JJ NNS CC VB DT NNS IN JJ NN , JJ IN DT JJ TO VB DT NN : CC'
Prohibition,'-LRB- ii -RRB- covered financial institution required to terminate an account pursuant to paragraph -LRB- b -RRB- -LRB- 2 -RRB- -LRB- i -RRB- of this section : -LRB- A -RRB- Shall do so within commercially reasonable time , and shall not permit the foreign bank to establish any new positions or execute any transactions through such account , other than those necessary to close the account ; and','-LRB- NN -RRB- VBN JJ NN VBN TO VB DT NN JJ TO VB -LRB- NN -RRB- -LRB- CD -RRB- -LRB- NNP -RRB- IN DT NN : -LRB- DT -RRB- NNP VBP RB IN RB JJ NN , CC MD RB VB DT JJ NN TO VB DT JJ NNS CC VB DT NNS IN JJ NN , JJ IN DT JJ TO VB DT NN : CC'
Prohibition,'null -LRB- a -RRB- The Director of FinCEN or his designee will not issue administrative rulings in response to oral requests . Oral opinions or advice by Treasury , Customs and Border Protection , the Internal Revenue Service , the Office of the Comptroller of the Currency , or any other bank supervisory agency personnel , regarding the interpretation and application of this chapter , do not bind FinCEN and carry no precedential value .','null -LRB- DT -RRB- DT NNP IN NNP CC PRP$ NN MD RB VB JJ NNS IN NN TO JJ NNS . NNP NNS CC NN IN NNP , NNP CC NNP NNP , DT NNP NNP NNP , DT NNP IN DT NNP IN DT NN , CC DT JJ NN JJ NN NNS , VBG DT NN CC NN IN DT NN , VBP RB VB NNP CC VBP DT JJ NN .'
Prohibition,'-LRB- c -RRB- Disclosure of summons , testimony , or records . Unless the Secretary or delegate of the Secretary listed under § 1010.912 -LRB- a -RRB- of this chapter so authorizes in writing , or it is otherwise required by law , no delegate of the Secretary listed under § 1010.912 -LRB- b -RRB- or -LRB- c -RRB- of this chapter or other officer or employee of the Treasury Department or any component thereof shall— -LRB- 1 -RRB- Make public the name of any person to whom summons has been issued under this chapter , or release any information to the public concerning that person or the issuance of summons to that person prior to the time and date set for that person’ appearance or production of records ; or -LRB- 2 -RRB- Disclose any testimony taken -LRB- including the name of the witness -RRB- or material presented pursuant to the summons , to any person other than an officer or employee of the Treasury Department or of any component thereof . Nothing in the preceding sentence shall preclude delegate of the Secretary , or other officer or employee of the Treasury Department or any component thereof , from disclosing testimony taken , or material presented pursuant to summons issued under this chapter , to any person in order to obtain necessary information for investigative purposes relating to the performance of official duties , or to any officer or employee of the Department of Justice in connection with possible violation of Federal law .','-LRB- NN -RRB- NN IN NNS , NN , CC NNS . IN DT NNP CC VB IN DT NNP VBN IN NN CD -LRB- DT -RRB- IN DT NN RB VBZ IN NN , CC PRP VBZ RB VBN IN NN , DT NN IN DT NNP VBN IN NN CD -LRB- NN -RRB- CC -LRB- NN -RRB- IN DT NN CC JJ NN CC NN IN DT NNP NNP CC DT NN IN NN -LRB- LS -RRB- VBP JJ DT NN IN DT NN TO WP NNS VBZ VBN VBN IN DT NN , CC VB DT NN TO DT NN VBG DT NN CC DT NN IN NNS TO DT NN RB TO DT NN CC NN NN IN DT JJ NN CC NN IN NNS : CC -LRB- CD -RRB- VB DT NN VBN -LRB- VBG DT NN IN DT NN -RRB- CC NN VBN JJ TO DT NNS , TO DT NN JJ IN DT NN CC NN IN DT NNP NNP CC IN DT NN NN . NN IN DT VBG NN MD VB NN IN DT NNP , CC JJ NN CC NN IN DT NNP NNP CC DT NN NN , IN VBG NN VBN , CC NN VBN JJ TO NNS VBN IN DT NN , TO DT NN IN NN TO VB JJ NN IN JJ NNS VBG TO DT NN IN JJ NNS , CC TO DT NN CC NN IN DT NNP IN NNP IN NN IN JJ NN IN JJ NN .'
Prohibition,'null null Other inspection , review or access to such records is governed by other applicable law .','null null JJ NN , NN CC NN TO JJ NNS VBZ VBN IN JJ JJ NN .'
Prohibition,'-LRB- c -RRB- An officer or employee of the United States , State , or a local government who provides original information described in paragraph -LRB- a -RRB- in the performance of official duties is not eligible for reward under this section .','-LRB- NN -RRB- DT NN CC NN IN DT NNP NNP , NNP , CC DT JJ NN WP VBZ JJ NN VBN IN NN -LRB- DT -RRB- IN DT NN IN JJ NNS VBZ RB JJ IN NN IN DT NN .'
Prohibition,'§ 1010.940 Photographic or other reproductions of Government obligations . Nothing herein contained shall require or authorize the microfilming or other reproduction of : -LRB- a -RRB- Currency or other obligation or security of the United States as defined in 18 U.S.C. 8 , or -LRB- b -RRB- Any obligation or other security of any foreign government , the reproduction of which is prohibited by law .','DT CD JJ CC JJ NNS IN NN NNS . NN NN VBN MD VB CC VB DT NN CC JJ NN IN : -LRB- DT -RRB- NN CC JJ NN CC NN IN DT NNP NNPS IN VBN IN CD NNP CD , CC -LRB- NN -RRB- DT NN CC JJ NN IN DT JJ NN , DT NN IN WDT VBZ VBN IN NN .'
Prohibition,'-LRB- e -RRB- Any information made available under this section to other department or agencies of the United States , any state or local government , or any foreign government shall be received by them in confidence , and shall not be disclosed to any person except for official purposes relating to the investigation , proceeding or matter in connection with which the information is sought .','-LRB- DT -RRB- DT NN VBD JJ IN DT NN TO JJ NN CC NNS IN DT NNP NNPS , DT NN CC JJ NN , CC DT JJ NN MD VB VBN IN PRP IN NN , CC MD RB VB VBN TO DT NN IN IN JJ NNS VBG TO DT NN , VBG CC NN IN NN IN WDT DT NN VBZ VBN .'
Prohibition,'-LRB- f -RRB- Limitation on exemption . transaction carried out by an exempt person as an agent for another person who is the beneficial owner of the funds that are the subject of transaction in currency is not subject to the exemption from reporting contained in paragraph -LRB- a -RRB- of this section .','-LRB- DT -RRB- NN IN NN . NN VBD RP IN DT JJ NN IN DT NN IN DT NN WP VBZ DT JJ NN IN DT NNS WDT VBP DT NN IN NN IN NN VBZ RB JJ TO DT NN IN VBG VBN IN NN -LRB- DT -RRB- IN DT NN .'
Prohibition,'-LRB- g -RRB- Limitation on liability . -LRB- 1 -RRB- No bank shall be subject to penalty under this chapter for failure to file report required by § 1010.311 with respect to transaction in currency by an exempt person with respect to which the requirements of this section have been satisfied , unless the bank : -LRB- i -RRB- Knowingly files false or incomplete information with respect to the transaction or the customer engaging in the transaction ; or -LRB- ii -RRB- Has reason to believe that the customer does not meet the criteria established by this section for treatment of the transactor as an exempt person or that the transaction is not transaction of the exempt person . -LRB- 2 -RRB- Subject to the specific terms of this section , and absent any specific knowledge of information indicating that customer no longer meets the requirements of an exempt person , bank satisfies the requirements of this section to the extent it continues to treat that customer as an exempt person until the completion of that customer’ next required periodic review , which as required by paragraph -LRB- d -RRB- of this section for an exempt person described in paragraph -LRB- b -RRB- -LRB- 4 -RRB- to -LRB- 7 -RRB- of this section , shall occur no less than once each year . -LRB- 3 -RRB- bank that files a report with respect to currency transaction by an exempt person rather than treating such person as exempt shall remain subject , with respect to each such report , to the rules for filing reports , and the penalties for filing false or incomplete reports that are applicable to reporting of transactions in currency by persons other than exempt persons .','-LRB- DT -RRB- NN IN NN . -LRB- CD -RRB- DT NN MD VB JJ TO NN IN DT NN IN NN TO VB NN VBN IN NNP CD IN NN TO NN IN NN IN DT JJ NN IN NN TO WDT DT NNS IN DT NN VBP VBN JJ , IN DT NN : -LRB- NNP -RRB- RB VBZ JJ CC JJ NN IN NN TO DT NN CC DT NN VBG IN DT NN : CC -LRB- NNS -RRB- NNPS NN TO VB IN DT NN VBZ RB VB DT NNS VBN IN DT NN IN NN IN DT NN IN DT JJ NN CC IN DT NN VBZ RB NN IN DT JJ NN . -LRB- CD -RRB- NN TO DT JJ NNS IN DT NN , CC JJ DT JJ NN IN NN VBG DT NN RB RB VBZ DT NNS IN DT JJ NN , NN VBZ DT NNS IN DT NN TO DT NN PRP VBZ TO VB DT NN IN DT JJ NN IN DT NN IN DT NN IN JJ JJ NN , WDT RB VBN IN NN -LRB- CD -RRB- IN DT NN IN DT JJ NN VBN IN NN -LRB- NN -RRB- -LRB- CD -RRB- TO -LRB- CD -RRB- IN DT NN , MD VB RB JJR IN RB DT NN . -LRB- CD -RRB- NN WDT VBZ DT NN IN NN TO NN NN IN DT JJ NN RB IN VBG JJ NN IN JJ MD VB JJ , IN NN TO DT JJ NN , TO DT NNS IN NN NNS , CC DT NNS IN VBG JJ CC JJ NNS WDT VBP JJ TO NN IN NNS IN NN IN NNS JJ IN JJ NNS .'
Prohibition,'-LRB- e -RRB- Confidentiality of reports ; limitation of liability . No bank or other financial institution , and no director , officer , employee , or agent of any bank or other financial institution , who reports suspicious transaction under this chapter , may notify any person involved in the transaction that the transaction has been reported . Thus , any person subpoenaed or otherwise requested to disclose SAR or the information contained in SAR , except where such disclosure is requested by FinCEN or an appropriate law enforcement or bank supervisory agency , shall decline to produce the SAR or to provide any information that would disclose that SAR has been prepared or filed , citing this paragraph -LRB- e -RRB- and 31 U.S.C. 5318 -LRB- g -RRB- -LRB- 2 -RRB- , and shall notify FinCEN of any such request and its response thereto . bank , and any director , officer , employee , or agent of such bank , that makes report pursuant to this section -LRB- whether such report is required by this section or is made voluntarily -RRB- shall be protected from liability for any disclosure contained in , or for failure to disclose the fact of such report , or both , to the full extent provided by 31 U.S.C. 5318 -LRB- g -RRB- -LRB- 3 -RRB- .','-LRB- DT -RRB- NN IN NNS : NN IN NN . DT NN CC JJ JJ NN , CC DT NN , NN , NN , CC NN IN DT NN CC JJ JJ NN , WP VBZ JJ NN IN DT NN , MD VB DT NN VBN IN DT NN IN DT NN VBZ VBN VBN . RB , DT NN VBN CC RB VBD TO VB NNP CC DT NN VBD IN NNP , IN WRB JJ NN VBZ VBN IN NNP CC DT JJ NN NN CC NN JJ NN , MD VB TO VB DT NN CC TO VB DT NN WDT MD VB DT NN VBZ VBN VBN CC VBN , VBG DT NN -LRB- NN -RRB- CC CD NNP CD -LRB- NN -RRB- -LRB- CD -RRB- , CC MD VB NNP IN DT JJ NN CC PRP$ NN NN . NN , CC DT NN , NN , NN , CC NN IN JJ NN , WDT VBZ NN JJ TO DT NN -LRB- IN JJ NN VBZ VBN IN DT NN CC VBZ VBN RB -RRB- MD VB VBN IN NN IN DT NN VBN IN , CC IN NN TO VB DT NN IN JJ NN , CC DT , TO DT JJ NN VBN IN CD NNP CD -LRB- NN -RRB- -LRB- CD -RRB- .'
Prohibition,'§ 1020.630 Prohibition on correspondent accounts for foreign shell banks ; records concerning owners of foreign banks and agents for service of legal process . -LRB- a -RRB- Refer to § 1010.630 of this Chapter .','DT CD NN IN NN NNS IN JJ NN NNS : NNS VBG NNS IN JJ NNS CC NNS IN NN IN JJ NN . -LRB- DT -RRB- NNP TO VB CD IN DT NN .'
Prohibition,'-LRB- e -RRB- Confidentiality of reports ; limitation of liability . No casino , and no director , officer , employee , or agent of any casino , who reports suspicious transaction under this chapter , may notify any person involved in the transaction that the transaction has been reported . Thus , any person subpoenaed or otherwise requested to disclose SARC or the information contained in a SARC , except where such disclosure is requested by FinCEN or another appropriate law enforcement or regulatory agency , shall decline to produce the SARC or to provide any information that would disclose that SARC has been prepared or filed , citing this paragraph -LRB- e -RRB- and 31 U.S.C. 5318 -LRB- g -RRB- -LRB- 2 -RRB- , and shall notify FinCEN of any such request and its response thereto . casino , and any director , officer , employee , or agent of such casino , that makes report pursuant to this section -LRB- whether such report is required by this section or made voluntarily -RRB- shall be protected from liability for any disclosure contained in , or for failure to disclose the fact of , such report , or both , to the extent provided by 31 U.S.C. 5318 -LRB- g -RRB- -LRB- 3 -RRB- .','-LRB- DT -RRB- NN IN NNS : NN IN NN . DT NN , CC DT NN , NN , NN , CC NN IN DT NN , WP VBZ JJ NN IN DT NN , MD VB DT NN VBN IN DT NN IN DT NN VBZ VBN VBN . RB , DT NN VBN CC RB VBD TO VB NNP CC DT NN VBD IN DT NNP , IN WRB JJ NN VBZ VBN IN NNP CC DT JJ NN NN CC JJ NN , MD VB TO VB DT NNP CC TO VB DT NN WDT MD VB DT NNP VBZ VBN VBN CC VBN , VBG DT NN -LRB- NN -RRB- CC CD NNP CD -LRB- NN -RRB- -LRB- CD -RRB- , CC MD VB NNP IN DT JJ NN CC PRP$ NN NN . NN , CC DT NN , NN , NN , CC NN IN JJ NN , WDT VBZ NN JJ TO DT NN -LRB- IN JJ NN VBZ VBN IN DT NN CC VBN RB -RRB- MD VB VBN IN NN IN DT NN VBN IN , CC IN NN TO VB DT NN IN , JJ NN , CC DT , TO DT NN VBN IN CD NNP CD -LRB- NN -RRB- -LRB- CD -RRB- .'
Prohibition,'-LRB- d -RRB- Confidentiality of reports ; limitation of liability . No financial institution , and no director , officer , employee , or agent of any financial institution , who reports suspicious transaction under this chapter , may notify any person involved in the transaction that the transaction has been reported . Thus , any person subpoenaed or otherwise requested to disclose SAR–MSB or the information contained in SAR–MSB , except where such disclosure is requested by FinCEN or an appropriate law enforcement or supervisory agency , shall decline to produce the SAR–MSB or to provide any information that would disclose that SAR–MSB has been prepared or filed , citing this paragraph -LRB- d -RRB- and 31 U.S.C. 5318 -LRB- g -RRB- -LRB- 2 -RRB- , and shall notify FinCEN of any such request and its response thereto . reporting money services business , and any director , officer , employee , or agent of such reporting money services business , that makes report pursuant to this section -LRB- whether such report is required by this section or made voluntarily -RRB- shall be protected from liability for any disclosure contained in , or for failure to disclose the fact of , such report , or both , to the extent provided by 31 U.S.C. 5318 -LRB- g -RRB- -LRB- 3 -RRB- .','-LRB- DT -RRB- NN IN NNS : NN IN NN . DT JJ NN , CC DT NN , NN , NN , CC NN IN DT JJ NN , WP VBZ JJ NN IN DT NN , MD VB DT NN VBN IN DT NN IN DT NN VBZ VBN VBN . RB , DT NN VBN CC RB VBD TO VB NNP CC DT NN VBD IN NNP , IN WRB JJ NN VBZ VBN IN NNP CC DT JJ NN NN CC JJ NN , MD VB TO VB DT NNP CC TO VB DT NN WDT MD VB DT NNP VBZ VBN VBN CC VBN , VBG DT NN -LRB- NN -RRB- CC CD NNP CD -LRB- NN -RRB- -LRB- CD -RRB- , CC MD VB NNP IN DT JJ NN CC PRP$ NN NN . VBG NN NNS NN , CC DT NN , NN , NN , CC NN IN JJ VBG NN NNS NN , WDT VBZ NN JJ TO DT NN -LRB- IN JJ NN VBZ VBN IN DT NN CC VBN RB -RRB- MD VB VBN IN NN IN DT NN VBN IN , CC IN NN TO VB DT NN IN , JJ NN , CC DT , TO DT NN VBN IN CD NNP CD -LRB- NN -RRB- -LRB- CD -RRB- .'
Prohibition,'Compliance with this section shall be audited by the Department of the Treasury , through FinCEN or its delegees under the terms of the Bank Secrecy Act . Failure to satisfy the requirements of this section may constitute violation of the reporting rules of the Bank Secrecy Act and of this chapter .','NN IN DT NN MD VB VBN IN DT NNP IN DT NNP , IN NNP CC PRP$ NNS IN DT NNS IN DT NNP NNP NNP . NN TO VB DT NNS IN DT NN MD VB NN IN DT NN NNS IN DT NNP NNP NNP CC IN DT NN .'
